,index,NAME,TIME W/ CUTS,CUTS OFF_FIRST ROUND,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
58,58,neos-4760493-puerua.mps.gz,18000.038254000003,5111.1738602,1.2,15407.0,0,1,0,0,5111.1738602,1.2,5111.1738602,5111.1738602,18000.038254000003,15407.0,15407.0,1.2
59,59,nh97_potential.mps.gz,228.65820779999999,33.9144108,39116.0,32984.0,1,1,1,0,33.9144108,32984.0,228.65820779999999,228.65820779999999,228.65820779999999,39116.0,39116.0,39116.0
60,60,supportcase21i.mps.gz,94.7674504,15.872799200000003,2539.0,2633.0,0,0,0,0,15.872799200000003,2539.0,15.872799200000003,15.872799200000003,15.872799200000003,2633.0,2633.0,2633.0
61,61,neos-3699377-maori.mps.gz,723.5093305999999,354.307857,22984.0,14774.0,0,1,0,0,354.307857,14774.0,354.307857,354.307857,723.5093305999999,14774.0,14774.0,22984.0
62,62,dano3_3.mps.gz,113.670987,160.5244908,16.0,20.0,1,1,1,1,113.670987,16.0,113.670987,113.670987,113.670987,16.0,16.0,16.0
63,63,neos-555343.mps.gz,18000.012024000003,7573.911750999998,515209.2,1209040.0,1,1,1,0,7573.911750999998,515209.2,18000.012024000003,18000.012024000003,18000.012024000003,515209.2,515209.2,515209.2
64,64,s55.mps.gz,26.9296534,26.761979399999994,1.0,1.0,1,1,0,0,26.761979399999994,1.0,26.761979399999994,26.9296534,26.9296534,1.0,1.0,1.0
65,65,mas74.mps.gz,2466.4945708,1305.3372261999998,7103212.0,5967997.0,0,0,0,0,1305.3372261999998,5967997.0,1305.3372261999998,1305.3372261999998,1305.3372261999998,5967997.0,5967997.0,5967997.0
66,66,gen-ip002.mps.gz,1482.1814974,1182.1685315999998,5859548.0,5112787.0,0,0,0,0,1182.1685315999998,5112787.0,1182.1685315999998,1182.1685315999998,1182.1685315999998,5112787.0,5112787.0,5112787.0
67,67,p200x1188c.mps.gz,4.148588999999999,2955.7398736,1.0,1044095.0,1,1,1,1,4.148588999999999,1.0,4.148588999999999,4.148588999999999,4.148588999999999,1.0,1.0,1.0
68,68,neos-4984115-canche.mps.gz,25.1498052,44.0817196,1.0,1.0,1,1,1,1,25.1498052,1.0,25.1498052,25.1498052,25.1498052,1.0,1.0,1.0
69,69,piperout-03.mps.gz,21.2119048,57.6274494,402.0,2130.0,1,1,1,1,21.2119048,402.0,21.2119048,21.2119048,21.2119048,402.0,402.0,402.0
70,70,aflow30a.mps.gz,29.557138999999996,45.8218434,1923.0,42445.0,1,1,1,1,29.557138999999996,1923.0,29.557138999999996,29.557138999999996,29.557138999999996,1923.0,1923.0,1923.0
71,71,mik-250-20-75-4.mps.gz,39.9440292,346.513175,7906.0,1372077.0,1,1,1,1,39.9440292,7906.0,39.9440292,39.9440292,39.9440292,7906.0,7906.0,7906.0
72,72,neos-3610051-istra.mps.gz,1.8706398,10.4847018,192.0,5098.0,1,1,1,1,1.8706398,192.0,1.8706398,1.8706398,1.8706398,192.0,192.0,192.0
73,73,neos-5100895-inster.mps.gz,2499.5548956000002,1761.0287036000002,10140.0,58065.0,0,1,1,0,1761.0287036000002,10140.0,2499.5548956000002,1761.0287036000002,2499.5548956000002,10140.0,58065.0,10140.0
74,74,australia-abs-cta.mps.gz,330.550416,1553.7949222,1849.0,95605.0,1,1,1,1,330.550416,1849.0,330.550416,330.550416,330.550416,1849.0,1849.0,1849.0
75,75,gus-sch.mps.gz,5.988762400000001,12.194546800000001,136.0,2150.0,1,1,1,1,5.988762400000001,136.0,5.988762400000001,5.988762400000001,5.988762400000001,136.0,136.0,136.0
76,76,neos-1330346.mps.gz,5602.5208216,3548.7359578000005,363848.0,292491.0,0,1,1,0,3548.7359578000005,292491.0,5602.5208216,3548.7359578000005,5602.5208216,363848.0,292491.0,363848.0
